,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Demanda (t),,,,,,,,,,Demanda  / SKU (t),,,,1.558.996,646.702,2.205.698,1.208.487,1.855.189,3.414.185
,,,,,,,,,,,,,,,,,,,,
,Ano Base,Compensada,Em Aberto,Total Contratada,Projetada,Em aberto + Projetada,DEMANDA TOTAL,,,,SKU,Ano Base,UF,material,Compensada,Em Aberto,Total Contratada,Projetada,Em aberto + Projetada,DEMANDA TOTAL
,,,,,,,,,,,<=2023-GO-METAL,<=2023,GO,METAL,1.671,4,1.675,111,115,1.786
,,,,,,,,,,,>2025-PA-VIDRO,>2025,PA,VIDRO,0,4,4,345,349,349
,,,,,,,,,,,>2025-CE-VIDRO,>2025,CE,VIDRO,0,4,4,466,470,470
,,,,,,,,,,,2024-MA-PAPEL,2024,MA,PAPEL,3.593,5,3.598,1.068,1.073,4.666
,,,,,,,,,,,2024-AL-PAPEL,2024,AL,PAPEL,2.583,5,2.587,254,258,2.841
,,,,,,,,,,,>2025-ES-METAL,>2025,ES,METAL,0,5,5,336,341,341
,,,,,,,,,,,2024-PE-PLÁSTICO,2024,PE,PLÁSTICO,7.126,5,7.131,1.431,1.436,8.562
,,,,,,,,,,,2024-PR-METAL,2024,PR,METAL,1.285,5,1.291,307,313,1.598
,,,,,,,,,,,>2025-ES-VIDRO,>2025,ES,VIDRO,0,5,5,1.172,1.177,1.177
,,,,,,,,,,,>2025-CE-METAL,>2025,CE,METAL,0,5,5,301,306,306
,,,,,,,,,,,>2025-PE-VIDRO,>2025,PE,VIDRO,0,5,5,790,796,796
,,,,,,,,,,,>2025-PA-METAL,>2025,PA,METAL,0,6,6,300,306,306
,,,,,,,,,,,>2025-PE-METAL,>2025,PE,METAL,0,6,6,477,483,483
,,,,,,,,,,,>2025-DF-VIDRO,>2025,DF,VIDRO,0,6,6,1.050,1.056,1.056
,,,,,,,,,,,<=2023-PI-PLÁSTICO,<=2023,PI,PLÁSTICO,3.409,6,3.416,148,154,3.563
,,,,,,,,,,,2024-PE-PAPEL,2024,PE,PAPEL,7.147,7,7.153,1.323,1.330,8.476
,,,,,,,,,,,>2025-GO-METAL,>2025,GO,METAL,0,8,8,519,527,527
,,,,,,,,,,,>2025-DF-METAL,>2025,DF,METAL,0,8,8,293,301,301
,,,,,,,,,,,>2025-AC-PAPEL,>2025,AC,PAPEL,0,8,8,634,642,642
,,,,,,,,,,,2024-CE-PLÁSTICO,2024,CE,PLÁSTICO,4.822,8,4.830,1.650,1.658,6.480
,,,,,,,,,,,<=2023-SC-VIDRO,<=2023,SC,VIDRO,2.201,8,2.210,96,105,2.306
,,,,,,,,,,,>2025-BA-VIDRO,>2025,BA,VIDRO,0,8,8,1.233,1.241,1.241
,,,,,,,,,,,>2025-GO-VIDRO,>2025,GO,VIDRO,0,8,8,1.540,1.548,1.548
,,,,,,,,,,,<=2023-MG-VIDRO,<=2023,MG,VIDRO,5.622,9,5.631,36,45,5.667
,,,,,,,,,,,>2025-MG-METAL,>2025,MG,METAL,0,9,9,1.176,1.185,1.185
,,,,,,,,,,,<=2023-PB-VIDRO,<=2023,PB,VIDRO,368,9,377,6,15,384
,,,,,,,,,,,>2025-AC-PLÁSTICO,>2025,AC,PLÁSTICO,0,9,9,665,675,675
,,,,,,,,,,,<=2023-MA-METAL,<=2023,MA,METAL,333,10,343,16,25,358
,,,,,,,,,,,2024-SC-VIDRO,2024,SC,VIDRO,2.965,10,2.974,110,119,3.084
,,,,,,,,,,,>2025-SC-VIDRO,>2025,SC,VIDRO,0,10,10,1.813,1.823,1.823
,,,,,,,,,,,>2025-BA-METAL,>2025,BA,METAL,0,10,10,475,484,484
,,,,,,,,,,,>2025-MG-VIDRO,>2025,MG,VIDRO,0,10,10,1.642,1.652,1.652
,,,,,,,,,,,>2025-RR-PLÁSTICO,>2025,RR,PLÁSTICO,0,11,11,551,562,562
,,,,,,,,,,,2024-PR-VIDRO,2024,PR,VIDRO,2.517,11,2.528,137,148,2.665
,,,,,,,,,,,<=2023-DF-VIDRO,<=2023,DF,VIDRO,1.651,11,1.662,32,42,1.694
,,,,,,,,,,,<=2023-PI-METAL,<=2023,PI,METAL,210,11,221,24,35,244
,,,,,,,,,,,>2025-RS-VIDRO,>2025,RS,VIDRO,0,11,11,3.242,3.254,3.254
,,,,,,,,,,,>2025-SC-METAL,>2025,SC,METAL,0,12,12,596,608,608
,,,,,,,,,,,>2025-RR-PAPEL,>2025,RR,PAPEL,0,12,12,556,568,568
,,,,,,,,,,,>2025-PR-VIDRO,>2025,PR,VIDRO,0,12,12,1.408,1.421,1.421
,,,,,,,,,,,<=2023-SC-METAL,<=2023,SC,METAL,967,13,980,137,149,1.117
,,,,,,,,,,,2024-PA-METAL,2024,PA,METAL,257,13,269,46,59,315
,,,,,,,,,,,<=2023-RS-VIDRO,<=2023,RS,VIDRO,3.005,14,3.019,818,831,3.837
,,,,,,,,,,,2024-RS-VIDRO,2024,RS,VIDRO,5.095,14,5.109,911,925,6.020
,,,,,,,,,,,<=2023-RS-PAPEL,<=2023,RS,PAPEL,27.926,15,27.940,1.188,1.203,29.128
,,,,,,,,,,,>2025-MT-VIDRO,>2025,MT,VIDRO,0,15,15,575,590,590
,,,,,,,,,,,<=2023-PR-VIDRO,<=2023,PR,VIDRO,2.446,15,2.461,80,95,2.541
,,,,,,,,,,,2024-MG-METAL,2024,MG,METAL,1.727,16,1.742,152,168,1.895
,,,,,,,,,,,>2025-RS-METAL,>2025,RS,METAL,0,16,16,763,778,778
,,,,,,,,,,,<=2023-ES-VIDRO,<=2023,ES,VIDRO,1.636,16,1.652,114,130,1.766
,,,,,,,,,,,2024-DF-METAL,2024,DF,METAL,315,16,331,25,41,356
,,,,,,,,,,,<=2023-PB-PAPEL,<=2023,PB,PAPEL,6.052,17,6.069,213,230,6.282
,,,,,,,,,,,>2025-PR-METAL,>2025,PR,METAL,0,17,17,862,879,879
,,,,,,,,,,,<=2023-AP-VIDRO,<=2023,AP,VIDRO,142,17,160,3,20,162
